Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Demo,,,,2019-08-06 14:05:23,2019-08-06 14:05:24,0.721s,INCOMPLETE
,,,,,,,
Test Cases/Authenticate/TC-02,,,"Authenticate,Register,Authenticate With Gmail",2019-08-06 14:05:24,2019-08-06 14:05:24,0.123s,PASSED
"println(""Authenticate TC-02"")",,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.006s,PASSED
,,,,,,,
Test Cases/Authenticate/TC-01,,,"Authenticate,Register,Authenticate Require SSO",2019-08-06 14:05:24,2019-08-06 14:05:24,0.019s,PASSED
"println(""Authenticate TC-01"")",,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.005s,PASSED
,,,,,,,
Test Cases/Register/TC-02,,,"Authenticate,Register,Register With SSO",2019-08-06 14:05:24,2019-08-06 14:05:24,0.012s,PASSED
"println(""Register TC-02"")",,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.001s,PASSED
,,,,,,,
Test Cases/Register/TC-01,,,"Authenticate,Register,Register With Gmail",2019-08-06 14:05:24,2019-08-06 14:05:24,0.014s,PASSED
"println(""Register TC-01"")",,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.002s,PASSED
,,,,,,,
Test Cases/BuyItem/TC-02,,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.014s,PASSED
"println(""Buy Item Workflow TC-02"")",,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.000s,PASSED
,,,,,,,
Test Cases/BuyItem/TC-01,,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.023s,PASSED
"println(""Buy Item Workflow TC-01"")",,,,2019-08-06 14:05:24,2019-08-06 14:05:24,0.000s,PASSED
